“à•”ID,ŠO•”ID
12960,1010_20210802_ScrA0301JP01
12961,1601_20210802_ScrA0302JP01
12962,1001_20210802_F_DrbA070020
12963,1021_20210802_DrbA0201JP01
12964,1010_20210802_DbvA0101JP01
12965,1013_20210802_F_DwcA080020
12966,1601_20210802_DbvA0102JP01
12967,1476_20210802_DpaA0101JP01
12968,1476_20210802_DkcA0101JP01
13068,1391_20210802_F_SbeA001010
13069,1391_20210802_F_SspA001010
13070,1391_20210802_F_ScrA001010
13072,1127_20210802_CbtA0102JP01
13073,1389_20210802_DbrA0102JP01
13074,1389_20210802_DbwA0102JP01
13075,1644_20210802_DwcA0202JP01
13076,1026_20210802_DwcA0201JP01
13077,1468_20210802_F_DyrA045010
13078,1017_20210802_F_CpbA058010
13079,1017_20210802_F_CpbA010010
13084,1010_20210802_DbaA0103JP01
13087,1010_20210802_DbaA0101JP01
13088,1010_20210802_DbcA0101JP01
13089,1010_20210802_DbyA0101JP01
13090,1010_20210802_DbrA0101JP01
13091,1010_20210802_DbaA0104JP01
13092,1010_20210802_DbaA0102JP01
13094,1644_20210802_DybA0202JP01
13095,1010_20210802_DbcB0301JP01
13099,1010_20210802_DbcA0302JP01
13100,1010_20210802_DbaA0304JP01
13101,1010_20210802_DbaA0302JP01
13102,1013_20210802_F_DbrA100010
13105,1010_20210802_DbaA0403JP01
13106,1644_20210802_DbaB0403JP01
13109,1644_20210802_DbcB0403JP01
13110,1005_20210802_F_DbcA045020
13113,1644_20210802_DbwB0403JP01
13114,1005_20210802_F_DbwA045020
13117,1644_20210802_DbyB0403JP01
13118,1644_20210802_DbrB0403JP01
13119,1020_20210802_DbaA0404JP01
13120,1020_20210802_DbcA0403JP01
13121,1020_20210802_DbwA0403JP01
13122,1020_20210802_DbyA0403JP01
13123,1010_20210802_DbaB0401JP01
13124,1010_20210802_DbcB0401JP01
13125,1010_20210802_DbwB0401JP01
13126,1010_20210802_DbyB0401JP01
13127,1010_20210802_DbrB0401JP01
13128,1010_20210802_DbaB0402JP01
13129,1010_20210802_DbcB0402JP01
13130,1010_20210802_DbwB0402JP01
13131,1010_20210802_DbyB0402JP01
13132,1010_20210802_DbrB0402JP01
13133,1021_20210802_DbfA0201JP01
13134,1009_20210802_F_DbfA100020
13135,1010_20210802_DsbA0301JP01
13136,1010_20210802_DsbA0302JP01
13137,1328_20210802_DmrB0103JP01
13138,1328_20210802_DmrB0101JP01
13139,1328_20210802_DmrB0102JP01
13140,1644_20210802_DmrB0105JP01
13141,1006_20210802_DmrB0104JP01
13142,1026_20210802_CpbA0102JP01
13143,1026_20210802_CpbA0101JP01
13144,1020_20210802_CpbA0103JP01
13145,1026_20210802_CpbA0202JP01
13146,1026_20210802_CpbA0201JP01
13147,1260_20210802_CpbA0204JP01
13148,1260_20210802_CpbA0203JP01
13149,1010_20210802_IwlA0101JP01
13150,1010_20210802_IwlA0103JP01
13151,1010_20210802_IwlA0102JP01
13152,1010_20210802_IbaA0103JP01
13153,1020_20210802_IbaA0104JP01
13154,1010_20210802_IcfA0101JP01
13155,1020_20210802_IcfA0102JP01
13156,1391_20210802_F_ScrA030020
13157,1391_20210802_F_SspA080010
13158,1391_20210802_F_SloA020010
13159,1391_20210802_F_SbaA020010
13160,1010_20210802_SbcA0101JP01
13161,1010_20210802_SbcA0102JP01
13162,1660_20210802_ShcA0101JP01
13163,1391_20210802_F_SloA002010
13164,1601_20210802_SrsA0101JP01
13165,1601_20210802_SrsA0102JP01
13166,1601_20210802_SrsA0103JP01
13167,1601_20210802_SrsA0104JP01
13168,1601_20210802_ScmA0101JP01
13169,1601_20210802_ScsA0101JP01
13667,1601_20210802_SbcA0103JP01
13668,1601_20210802_ShcA0102JP01
13669,1010_20210802_IuvA0101JP01
13670,1010_20210802_IeoA0101JP01
13671,1010_20210802_IeoA0102JP01
13672,1010_20210802_IowA0101JP01
13673,1020_20210802_IscA0104JP01
13674,1020_20210802_IgcA0105JP01
13675,1020_20210802_IuvA0102JP01
13676,1020_20210802_IeoA0103JP01
13677,1020_20210802_IowA0102JP01
13678,1010_20210802_DsbA0201JP01
13679,1010_20210802_DsbA0102JP01
13680,1644_20210802_DsbA0202JP01
13681,1391_20210802_F_ScfA150010
13682,1660_20210802_SspA0201JP01
13683,1601_20210802_SspA0202JP01
13684,1391_20210802_F_SspA015010
13685,1005_20210802_F_DbwB090010
13686,1010_20210802_DbwB0101JP01
13687,1024_20210802_IscA0201JP01
13688,1024_20210802_IscA0202JP01
13689,1015_20210802_IbaA0101JP01
13690,1015_20210802_IbaA0102JP01
13691,1015_20210802_IscA0102JP01
13692,1015_20210802_IscA0101JP01
13693,1015_20210802_IscA0103JP01
13694,1015_20210802_IgcA0101JP01
13695,1015_20210802_IgcA0103JP01
13696,1010_20210802_IakA0101JP01
13697,1010_20210802_IakA0102JP01
13698,1010_20210802_IwkA0101JP01
13699,1020_20210802_IakA0104JP01
13700,1020_20210802_IwkA0102JP01
13701,1026_20210802_CplC0202JP01
13702,1003_20210802_DafA0101JP01
13703,1003_20210802_DafA0102JP01
13704,1020_20210802_IowA0301JP01
13705,1020_20210802_IeoA0301JP01
13706,1015_20210802_DrlA0101JP01
13707,1015_20210802_DrlA0103JP01
13708,1015_20210802_DrlA0102JP01
13709,1026_20210802_DybA0201JP01
